"issue","original_path","quarantined_path","detail"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=2.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/hethongthongtin/html/daa.uit.edu.vn_content_ky-su-nganh-he-thong-thong-tin-ap-dung-tu-khoa-7-2012page=2.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/html/daa.uit.edu.vn_chuong-trinh-dao-tao_ctdt-khoa-2012.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/html/daa.uit.edu.vn_chuong-trinh-dao-tao_ctdt-khoa-2012.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/khoahocmaytinh/html/daa-uit-edu-vn_content_cu-nhan-nganh-k-22cef523.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/khoahocmaytinh/html/daa-uit-edu-vn_content_cu-nhan-nganh-k-22cef523.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/khoahocmaytinh/html/daa.uit.edu.vn_content_cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kysunganhtruyenthongvamangmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-tru-661d8092.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kysunganhtruyenthongvamangmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-tru-661d8092.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kysunganhtruyenthongvamangmaytinh/html/daa.uit.edu.vn_content_ky-su-nganh-truyen-thong-va-mang-may-tinh-ap-dung-tu-khoa-7-den-khoa-8page=1.html",".html"
"duplicate_source_html","daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb.html","_stale_artifacts/20260721T110923Z/daa/chuongtrinh_daotao/he-chinhquy/khoa_2012/kythuatmaytinh/html/daa-uit-edu-vn_content_ky-su-nganh-ky-764b25fb.html",".html"
