page_url,attachment_url,status,terminal_state,local_path,error
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-hoi-nghi-sinh-vien-cap-truong-va-huong-dan-chuc-hnsv-cap-khoa-nam-hoc-2018,https://ctsv.uit.edu.vn/sites/default/files/201904/08_kh_dhcntt_05_04_2019_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-hoi-nghi-sinh-vien-cap-truong-va-huong-dan-chuc-hnsv-cap-khoa-nam-hoc-2018,https://ctsv.uit.edu.vn/sites/default/files/201904/mau_bb_ban_hanh_theo_hd.docx,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-hoi-nghi-sinh-vien-cap-truong-va-huong-dan-chuc-hnsv-cap-khoa-nam-hoc-2019,https://ctsv.uit.edu.vn/sites/default/files/202006/15-kh-dhcntt09-6-2020.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-hoi-nghi-sinh-vien-cap-truong-va-huong-dan-chuc-hnsv-cap-khoa-nam-hoc-2019,https://ctsv.uit.edu.vn/sites/default/files/202006/09-hd-ctsv09-6-2020.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-hoi-nghi-sinh-vien-cap-truong-va-huong-dan-chuc-hnsv-cap-khoa-nam-hoc-2019,https://ctsv.uit.edu.vn/sites/default/files/202006/mau_bb_ban_hanh_theo_hd.docx,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-le-tn-va-trao-bang-dot-1-nam-2023,https://ctsv.uit.edu.vn/sites/default/files/202305/13_kh_dhcntt19_04_2023_scan_0.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-le-tn-va-trao-bang-dot-2-nam-2023,https://ctsv.uit.edu.vn/sites/default/files/uploads/files/202310/30_kh_dhcntt_17_10_2023_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-le-tot-nghiep-dot-1-nam-2024,https://ctsv.uit.edu.vn/sites/default/files/uploads/files/202405/34_tb_le_tot_nghiep_thang_6.2024.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-le-tot-nghiep-dot-1-nam-2025,https://ctsv.uit.edu.vn/sites/default/files/uploads/files/202504/441_dhcntt_ctsv25_04_2025_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-le-tot-nghiep-dot-2-nam-2024,https://ctsv.uit.edu.vn/sites/default/files/uploads/files/202410/1178_kh_dhcntt22_10_2024_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-le-tot-nghiep-dot-2-nam-2025,https://ctsv.uit.edu.vn/sites/default/files/uploads/files/202510/1276_kh_dhcntt30_10_2025_scan.pdf,manifested,True,,
https://ctsv.uit.edu.vn/bai-viet/ke-hoach-chuc-le-tot-nghiep-va-trao-bang-dot-2-nam-2017,https://ctsv.uit.edu.vn/sites/default/files/201711/25-kh-dhcntt_13-11-2017_kh_to_chuc_le_tn_dot_2_-2017.pdf,manifested,True,,
